timestamp,ref,val,knn,threshold,n-box,acc-full,acc-bbox,mAP,memo,AP0,AP1,AP2,AP3,AP4,AP5,AP6,AP7,AP8,AP9,AP10,AP11,AP12,AP13,AP14,AP15,AP16,AP17,AP18,AP19,AP20,AP21,AP22,AP23,AP24,AP25,AP26,AP27,AP28,AP29,AP30,FP0,FP1,FP2,FP3,FP4,FP5,FP6,FP7,FP8,FP9,FP10,FP11,FP12,FP13,FP14,FP15,FP16,FP17,FP18,FP19,FP20,FP21,FP22,FP23,FP24,FP25,FP26,FP27,FP28,FP29,FP30,TP0,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,TP16,TP17,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26,TP27,TP28,TP29,TP30
2019-11-11 21:51:45.882282,wall-orig,frontview2,False,0.83,200,0.13368983566761014,0.7491103410720825,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:52:22.807485,wall-orig,office,True,0.83,200,0.12526538968086245,0.7898089289665222,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:52:59.242845,wall-orig,office,False,0.83,200,0.11889596283435824,0.6666666865348816,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:53:34.259658,floor,wall,True,0.83,200,0.5673352479934692,0.7822349667549133,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:54:08.224806,floor,wall,False,0.83,200,0.3610315322875977,0.7564470171928406,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:54:48.902811,floor,frontview,True,0.83,200,0.3986636996269226,0.6971046924591064,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:55:29.113964,floor,frontview,False,0.83,200,0.26503339409828186,0.6213808655738831,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:56:15.616108,floor,frontview2,True,0.83,200,0.2495543658733368,0.8007117509841919,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:57:01.990292,floor,frontview2,False,0.83,200,0.10873440653085707,0.7170818448066711,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:57:36.540254,floor,office,True,0.83,200,0.12101911008358004,0.6815286874771118,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:58:12.903638,floor,office,False,0.83,200,0.1104033961892128,0.6369426846504211,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:58:45.265298,floor-orig,wall,True,0.83,200,0.5959885120391846,0.8997134566307068,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 21:59:18.009837,floor-orig,wall,False,0.83,200,0.3982807993888855,0.7908309698104858,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:00:08.837599,floor-orig,floor,True,0.83,200,0.8204419612884521,0.9838945865631104,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:00:58.569710,floor-orig,floor,False,0.83,200,0.4682320356369018,0.9209370613098145,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-11-11 22:01:36.616555,floor-orig,frontview,True,0.83,200,0.4432071149349213,0.8641425371170044,-1.0,"slidwindow n=3, mode=all",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
